TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
"5058714","Magic","Adventures in the Forgotten Realms","Xanathar, Guild Kingpin","","239","M","Near Mint","1.47","0.99","2.3000","0.9900","1","0","1.1400",""
"3258560","Magic","Aether Revolt","Aethertide Whale","","27","R","Near Mint","0.13","","1.3200","0.0100","1","0","0.2000",""
"3255804","Magic","Aether Revolt","Consulate Crackdown","","11","R","Near Mint","0.17","","1.3400","0.0300","1","0","0.2000",""
"3257820","Magic","Aether Revolt","Sram's Expertise","","24","R","Near Mint","0.41","0.43","1.5900","0.2800","2","0","0.3000",""
"8525891","Magic","Aetherdrift","Bleachbone Verge","","250","R","Near Mint","7.84","7.80","7.9900","7.0000","0","0","7.0600",""
"8529092","Magic","Aetherdrift","Momentum Breaker","","97","U","Near Mint","0.28","0.23","1.4000","0.0900","0","0","0.2000",""
"8549174","Magic","Aetherdrift","Oviya, Automech Artisan","","173","R","Near Mint","0.57","0.34","1.6500","0.3400","0","0","0.4400",""
"8545442","Magic","Aetherdrift","Spectacular Pileup","","29","R","Near Mint Foil","0.22","0.11","1.4200","0.1100","0","0","0.2000",""
"8538983","Magic","Aetherdrift","Stock Up","","67","U","Near Mint","8.24","7.96","8.4900","5.5000","0","0","9.0600",""
"8526811","Magic","Aetherdrift","Sunbillow Verge","","264","R","Near Mint","5.80","6.07","6.4200","6.4200","0","0","2.9400",""
"8527121","Magic","Aetherdrift","Wastewood Verge","","268","R","Near Mint","4.66","4.56","5.3900","5.3900","0","0","4.2200",""
"8527056","Magic","Aetherdrift","Wastewood Verge (Borderless)","","374","R","Near Mint","5.14","6.39","5.1400","5.1400","0","0","5.0300",""
"3326296","Magic","Amonkhet","Glory-Bound Initiate","","16","R","Near Mint","0.08","","1.3200","0.0100","2","0","0.2000",""
"3327630","Magic","Amonkhet","Harsh Mentor","","135","R","Near Mint","0.30","0.31","1.4500","0.1400","1","0","0.2000",""
"3328070","Magic","Amonkhet","Heaven // Earth","","224","R","Near Mint","0.16","","1.3400","0.0300","1","0","0.2000",""
"3326321","Magic","Amonkhet","Liliana's Influence","","277","R","Near Mint","0.30","","1.5600","0.2500","1","0","0.2700",""
"3327130","Magic","Amonkhet","Never // Return","","212","R","Near Mint","0.23","","1.4600","0.1500","1","0","0.2000",""
"3327140","Magic","Amonkhet","New Perspectives","","63","R","Near Mint","0.11","","1.3700","0.0600","1","0","0.2000",""
"3328130","Magic","Amonkhet","Vizier of Many Faces","","74","R","Near Mint","0.19","0.22","1.3900","0.0800","2","0","0.2000",""
"3373408","Magic","Archenemy: Nicol Bolas","Sword of the Animist","","89","R","Near Mint","8.46","","8.9900","8.0000","1","0","8.4700",""
"2954939","Magic","Battle for Zendikar","Prism Array","","81","R","Near Mint","0.09","0.09","1.3500","0.0400","1","0","0.2000",""
"2955151","Magic","Battle for Zendikar","Ugin's Insight","","87","R","Near Mint","0.24","0.16","1.4000","0.0900","1","0","0.2000",""
"8034726","Magic","Bloomburrow","Dawn's Truce","","9","R","Near Mint","6.24","5.87","6.4500","4.4600","1","0","6.1400",""
"8032120","Magic","Bloomburrow","Innkeeper's Talent","","180","R","Near Mint","11.55","10.69","11.8400","11.8400","1","0","10.7400",""
"8032125","Magic","Bloomburrow","Innkeeper's Talent","","180","R","Near Mint Foil","12.81","11.49","12.2800","12.2800","1","0","12.3300",""
"5726749","Magic","Buy-A-Box Promos","Llanowar Loamspeaker","","428","P","Near Mint Foil","0.39","","1.4600","0.1500","1","0","0.2200",""
"1270790","Magic","Commander 2014","Sphinx of Uthuun","","128","R","Near Mint","0.15","0.15","1.4100","0.1000","2","0","0.2000",""
"3005197","Magic","Commander 2015","Lone Revenant","","96","R","Near Mint","0.20","","1.3900","0.0800","1","0","0.2000",""
"3005462","Magic","Commander 2015","Silent Sentinel","","81","R","Near Mint","0.19","","1.3900","0.0800","1","0","0.2000",""
"3005502","Magic","Commander 2015","Stroke of Genius","","108","R","Near Mint","0.44","","1.7000","0.3900","1","0","0.4100",""
"3243883","Magic","Commander 2016","Deepglow Skate","","7","R","Near Mint","1.20","","2.5000","1.1900","1","0","1.1900",""
"3449941","Magic","Commander 2017","Galecaster Colossus","","10","R","Near Mint","2.21","","3.5000","2.1900","0","0","2.2000",""
"3450326","Magic","Commander 2017","Serendib Sorcerer","","93","R","Near Mint","0.19","0.19","1.4100","0.1000","1","0","0.2000",""
"3450386","Magic","Commander 2017","Staff of Nin","","224","R","Near Mint","0.94","","2.2100","0.9000","1","0","0.9100",""
"3807978","Magic","Commander 2018","Xantcha, Sleeper Agent","","50","R","Lightly Played","7.74","3.25","5.1200","3.8100","1","0","5.1100",""
"4897973","Magic","Commander 2021","Citadel Siege","","85","R","Near Mint","0.25","0.24","1.5000","0.1900","1","0","0.2100",""
"3371504","Magic","Commander Anthology","Azami, Lady of Scrolls","","31","R","Near Mint","0.58","","1.7400","0.4300","1","0","0.4800",""
"3744516","Magic","Commander Anthology Volume II","Dreamborn Muse","","41","R","Near Mint","3.91","","5.1000","3.7900","1","0","3.8300",""
"4631870","Magic","Commander Legends","Aurora Phoenix","","161","R","Near Mint","0.20","0.20","1.4800","0.1700","2","0","0.2000",""
"4654453","Magic","Commander Legends","Biowaste Blob","","219","R","Near Mint","0.33","0.24","1.5600","0.2500","1","0","0.2800",""
"4627495","Magic","Commander Legends","Bladegriff Prototype","","300","R","Near Mint","0.17","0.15","1.4400","0.1300","1","0","0.2000",""
"4671140","Magic","Commander Legends","Blazing Sunsteel","","364","R","Near Mint","2.09","2.06","2.5600","1.2500","2","0","1.5100",""
"4661820","Magic","Commander Legends","Burnished Hart","","302","U","Near Mint","0.06","0.05","1.3600","0.0500","2","0","0.2000",""
"4674975","Magic","Commander Legends","Comet Storm","","411","M","Near Mint","0.99","0.95","2.2300","0.9200","1","0","0.9200",""
"4535920","Magic","Commander Legends","Commander's Sphere","","306","C","Near Mint","0.20","0.14","1.4600","0.1500","4","0","0.2000",""
"4660509","Magic","Commander Legends","Court of Ire","","170","R","Near Mint","0.32","0.31","1.5600","0.2500","1","0","0.2700",""
"4657619","Magic","Commander Legends","Dawnglade Regent","","222","R","Near Mint","0.43","0.48","1.5900","0.2800","2","0","0.3200",""
"4643736","Magic","Commander Legends","Eligeth, Crossroads Augur","","66","R","Near Mint","0.14","","1.4400","0.1300","1","0","0.2000",""
"4662270","Magic","Commander Legends","Foundry Inspector","","310","C","Near Mint","0.28","0.17","1.5100","0.2000","2","0","0.2000",""
"4642496","Magic","Commander Legends","Immaculate Magistrate","","234","R","Near Mint","0.58","0.61","1.7400","0.4300","1","0","0.4800",""
"4675245","Magic","Commander Legends","Jaya's Immolating Inferno","","415","R","Near Mint","2.72","1.37","1.9600","0.6500","1","0","1.3100",""
"4637071","Magic","Commander Legends","Kediss, Emberclaw Familiar","","188","U","Near Mint","4.77","4.02","5.0900","5.0900","1","0","4.2100",""
"4644226","Magic","Commander Legends","Livio, Oathsworn Sentinel","","31","R","Near Mint","0.12","0.12","1.3500","0.0400","1","0","0.2000",""
"4632390","Magic","Commander Legends","Magus of the Order","","242","R","Near Mint","0.15","0.09","1.4000","0.0900","3","0","0.2000",""
"4672900","Magic","Commander Legends","Martial Coup","","378","R","Near Mint","0.20","0.08","1.4400","0.1300","2","0","0.2000",""
"4649886","Magic","Commander Legends","Necrotic Hex","","137","R","Near Mint","0.28","0.21","1.5500","0.2400","2","0","0.2500",""
"4653068","Magic","Commander Legends","Nevinyrral's Disk","","328","R","Near Mint","0.36","0.35","1.6000","0.2900","1","0","0.3100",""
"4649621","Magic","Commander Legends","Nightshade Harvester","","138","R","Near Mint","0.19","0.14","1.4300","0.1200","2","0","0.2000",""
"4647866","Magic","Commander Legends","Plague Reaver","","143","R","Near Mint","0.23","0.23","1.5300","0.2200","1","0","0.2200",""
"4629594","Magic","Commander Legends","Profane Transfusion","","145","M","Near Mint","1.04","","2.2700","0.9600","1","0","0.9900",""
"4644941","Magic","Commander Legends","Promise of Tomorrow","","39","R","Near Mint","0.12","0.12","1.3900","0.0800","1","0","0.2000",""
"4676505","Magic","Commander Legends","Rampaging Baloths","","431","R","Near Mint","0.56","0.63","1.7400","0.4300","1","0","0.4800",""
"4648136","Magic","Commander Legends","Rootweaver Druid","","250","R","Near Mint","0.30","","1.5600","0.2500","2","0","0.2600",""
"4656253","Magic","Commander Legends","Sakashima's Protege","","90","R","Near Mint","0.32","0.26","1.5700","0.2600","2","0","0.2800",""
"4674435","Magic","Commander Legends","Scourge of Fleets","","403","R","Near Mint","0.32","0.49","1.6200","0.3100","1","0","0.3100",""
"4536190","Magic","Commander Legends","Sengir, the Dark Baron","","149","R","Near Mint","0.22","","1.4600","0.1500","1","0","0.2000",""
"4674930","Magic","Commander Legends","Slayers' Stronghold","","494","R","Near Mint","0.25","","1.5000","0.1900","1","0","0.2100",""
"4674705","Magic","Commander Legends","Sphinx of Uthuun","","406","R","Near Mint","0.13","0.13","1.3700","0.0600","1","0","0.2000",""
"4677990","Magic","Commander Legends","Spitting Image","","453","R","Near Mint","0.12","","1.4100","0.1000","2","0","0.2000",""
"4674750","Magic","Commander Legends","Stormtide Leviathan","","407","R","Near Mint","2.43","2.08","2.0100","0.7000","1","0","1.2200",""
"4676460","Magic","Commander Legends","Sword of Vengeance","","475","R","Near Mint","0.51","0.53","1.8000","0.4900","0","0","0.5100",""
"4674840","Magic","Commander Legends","Whelming Wave","","409","R","Near Mint","2.80","1.91","1.8100","0.5000","1","0","1.2300",""
"4673895","Magic","Commander Legends","Winds of Rath","","392","R","Near Mint","0.28","0.24","1.5100","0.2000","3","0","0.2200",""
